client_id,age,wealth,risk_preference,rho,raw_text,model_alpha,naive_alpha,model_lifecycle_utility,model_simulated_crra_utility,naive_simulated_crra_utility,utility_lift,model_failure_probability_pct,naive_failure_probability_pct,failure_probability_lift_pct,model_max_drawdown_pct,naive_max_drawdown_pct,max_drawdown_lift_pct,model_volatility_pct,naive_volatility_pct,volatility_lift_pct,model_avg_terminal_wealth,naive_avg_terminal_wealth,terminal_wealth_lift
12,36,6.39,conservative,10,"36 years old, wealth=6.39, conservative",0.4640118857703827,0.6,0.9443400264484395,-1.555946526551389e+29,-2.3323728836827562e+27,-1.5326227977145613e+29,31.2,35.1,-3.900000000000002,-19.42949034799409,-26.200805445803137,6.7713150978090475,6.960258785654112,8.988250603997686,-2.0279918183435743,1.9974166938378646,2.605777921102769,-0.6083612272649044
13,46,17.71,balanced,8,"46 years old, wealth=17.71, balanced",0.3635134445829113,0.6,1.7051545471340424,-15766350227137.408,-1.3847872465962402e+17,1.3846295830939688e+17,27.0,37.3,-10.299999999999997,-14.312820710984827,-26.689733935258527,12.3769132242737,5.43343250981107,8.958631026896882,-3.525198517085812,4.294308365988972,7.009687663377289,-2.715379297388317
14,64,15.95,conservative,10,"64 years old, wealth=15.95, conservative",0.3271409894014881,0.6,2.5424577712292518,-6567459525263461.0,-7.76671159936113e+18,7.760144139835867e+18,29.4,36.6,-7.200000000000003,-12.731819482911698,-27.261277309763006,14.529457826851308,4.899235204832779,8.987587002047208,-4.088351797214429,3.322282875048456,6.1715701415114905,-2.8492872664630347
15,54,19.6,conservative,10,"54 years old, wealth=19.60, conservative",0.26315789,0.6,2.038385912067311,-3.5780197143460054e+34,-4.645042444040639e+25,-3.578019709700963e+34,24.7,34.4,-9.7,-9.031936301103897,-26.67994414681892,17.64800784571502,3.972814692250514,9.053082245158503,-5.080267552907989,3.609745180747253,7.766232710895785,-4.1564875301485324
16,53,13.28,conservative,10,"53 years old, wealth=13.28, conservative",0.3023144876064421,0.6,1.6370513854936741,-4.879728064005591e+17,-3.490781727235296e+20,3.4859019991712904e+20,27.7,34.8,-7.099999999999998,-10.92851577347781,-26.450357699622554,15.521841926144743,4.540316002391246,9.003128226979344,-4.462812224588098,2.695016056467229,5.179605314990252,-2.484589258523023
17,34,7.88,aggressive,6,"34 years old, wealth=7.88, aggressive",0.8242689573839797,0.6,1.2167324947381202,-12442548684554.377,-104575838098.45618,-12337972846455.92,38.5,35.8,2.700000000000003,-37.90225981264236,-27.026901937975385,-10.875357874666978,12.450775458905095,9.069384794081792,3.3813906648233036,4.543286909681371,3.112506273067944,1.4307806366134272
18,48,14.92,conservative,10,"48 years old, wealth=14.92, conservative",0.28523571297868006,0.6,1.53628292363129,-4.427355299712929e+22,-1.7821771867417238e+19,-4.4255731225261876e+22,24.7,35.9,-11.2,-10.21189684232428,-26.56200590140047,16.35010905907619,4.255576833172484,8.957692902282476,-4.702116069109992,2.9120564462684495,5.77359602493057,-2.8615395786621205
19,36,17.83,conservative,10,"36 years old, wealth=17.83, conservative",0.26315789,0.6,1.4205138468948078,-3.5588935951413284e+18,-1.2983468835838147e+17,-3.429058906782947e+18,21.9,33.9,-12.0,-9.122340713682675,-26.61968508271546,17.497344369032785,3.9455888975816955,8.992263254176462,-5.046674356594767,3.3053673060149635,7.191548533509132,-3.8861812274941685
20,53,9.17,balanced,8,"53 years old, wealth=9.17, balanced",0.5044358022018395,0.6,1.5000339604627533,-1.316601117462461e+20,-4.898290108259409e+16,-1.3161112884516351e+20,32.9,37.0,-4.100000000000001,-22.391083514696263,-27.314317318631108,4.9232338039348456,7.569158444743684,9.005423122879371,-1.4362646781356867,2.944526818409639,3.315315716882985,-0.37078889847334606
21,43,10.55,conservative,10,"43 years old, wealth=10.55, conservative",0.33705021926850787,0.6,1.2051379486097633,-1.3520507596179744e+21,-9.416969864746846e+27,9.416968512696087e+27,28.0,35.6,-7.600000000000001,-13.054688037257852,-27.023839218633768,13.969151181375915,5.05968356693385,9.0079133280019,-3.94822976106805,2.368630345950838,4.268004497874169,-1.8993741519233307
22,34,9.0,aggressive,6,"34 years old, wealth=9.00, aggressive",0.7642042265586145,0.6,1.2654797814537087,-19462702170.974323,-1292449392335283.2,1292429929633112.2,40.6,36.6,4.0,-34.729290585909446,-26.863297777223625,-7.865992808685821,11.40493404006836,8.962905847008935,2.442028193059425,4.56844258561463,3.3750129994799094,1.1934295861347204
23,64,14.52,aggressive,6,"64 years old, wealth=14.52, aggressive",0.5261709655318781,0.6,2.72902062750928,-6883838382.3718605,-12002048991876.13,11995165153493.76,33.3,34.6,-1.3000000000000043,-23.017222905447504,-26.74359870261946,3.7263757971719578,7.87787226330675,8.979329603995236,-1.1014573406884862,5.064197399280168,5.882939134645312,-0.818741735365144
24,59,8.67,aggressive,6,"59 years old, wealth=8.67, aggressive",0.7262295596423374,0.6,1.907051059478316,-9.25610479897522e+17,-15910301576596.281,-9.255945695959455e+17,40.2,38.3,1.9000000000000057,-33.101442867042074,-26.783948173168895,-6.317494693873179,10.870182070346461,8.978929832174062,1.8912522381723988,3.842177415729325,3.3583188304992184,0.4838585852301067
25,65,9.05,balanced,8,"65 years old, wealth=9.05, balanced",0.5606205712161719,0.6,2.1918865184568106,-6.829096811693373e+16,-7.07744254338378e+26,7.077442542700871e+26,36.0,35.7,0.29999999999999716,-24.791002035522414,-26.745671069359105,1.9546690338366908,8.386564847130593,8.978306851190565,-0.5917420040599719,3.366833998852265,3.6533038534675186,-0.28646985461525354
26,33,15.27,conservative,10,"33 years old, wealth=15.27, conservative",0.2815908525398284,0.6,1.3007398892867417,-3.5487537811904717e+22,-1.8050067524359343e+20,-3.5307037136661124e+22,23.8,37.2,-13.400000000000002,-10.15531952551358,-26.79815729529663,16.64283776978305,4.226520780795125,9.000651193686682,-4.774130412891557,2.858515294817764,5.551272275810244,-2.69275698099248
27,50,17.33,conservative,10,"50 years old, wealth=17.33, conservative",0.26103385562361064,0.6,1.7295978624942387,-6.950990326583964e+19,-2.5187692456005905e+27,2.5187691760906875e+27,23.8,36.0,-12.2,-8.871904237642369,-26.401410389674112,17.529506152031743,3.8903600247433925,8.922483612670096,-5.032123587926703,3.26710094149381,7.2190149687026395,-3.9519140272088293
28,43,9.02,balanced,8,"43 years old, wealth=9.02, balanced",0.5088772884697551,0.6,1.2200584925402786,-32961595898043.66,-1.6494165780761034e+21,1.6494165451145074e+21,34.7,32.9,1.8000000000000043,-22.03641681237886,-26.715379182730373,4.678962370351513,7.646156844249141,9.016734974243079,-1.3705781299939375,2.9695539711986365,3.403774970478173,-0.4342209992795363
29,50,18.15,aggressive,6,"50 years old, wealth=18.15, aggressive",0.4655535227925471,0.6,2.031161907386164,-6.017058247860168e+22,-90039011.18573809,-6.017058247860159e+22,30.0,32.9,-2.8999999999999986,-19.870521114058295,-26.75913411761382,6.888613003555523,6.974704759520913,8.995404884376631,-2.0207001248557184,5.593175119837866,7.20745737635144,-1.6142822565135733
30,55,14.83,conservative,10,"55 years old, wealth=14.83, conservative",0.28617296280581334,0.6,1.8205423136560976,-7.420146902210234e+19,-1.0727046360364096e+20,3.306899458153862e+19,27.6,35.4,-7.799999999999997,-10.416124788481586,-27.12677073962767,16.710645951146084,4.2702411966485085,8.951539291584197,-4.681298094935689,2.7799122486989023,5.786001600312719,-3.006089351613817
31,46,11.88,aggressive,6,"46 years old, wealth=11.88, aggressive",0.5836578504422456,0.6,1.5592737801637397,-205191169358.99377,-1681570203547.481,1476379034188.4873,36.2,36.6,-0.3999999999999986,-26.005712222183483,-26.949840946370813,0.9441287241873297,8.74719431968972,8.994542062829249,-0.24734774313952812,4.471199966820106,4.73471538270776,-0.26351541588765404
32,65,8.7,conservative,10,"65 years old, wealth=8.70, conservative",0.46572087917464183,0.6,2.0813037127240435,-7.563676259312565e+34,-5.650950434501631e+20,-7.563676259312509e+34,31.3,35.1,-3.8000000000000007,-19.727726388467463,-26.868994688531288,7.141268300063825,6.961169143042905,8.974431494137134,-2.0132623510942294,2.6603000534146175,3.3005100114312955,-0.640209958016678
33,57,8.94,aggressive,6,"57 years old, wealth=8.94, aggressive",0.7142375467189652,0.6,1.8167925984184463,-4574672920.211326,-1025975861480.7439,1021401188560.5326,37.6,36.4,1.2000000000000028,-31.948636580817208,-26.40943617031512,-5.539200410502087,10.686123195559437,8.979677648731489,1.7064455468279487,4.157504214921757,3.4584232268350625,0.6990809880866946
34,44,10.99,aggressive,6,"44 years old, wealth=10.99, aggressive",0.6231870782266947,0.6,1.4650108018829089,-4.709174049104151e+16,-54321350007.439926,-4.70916861696915e+16,36.0,35.0,1.0,-27.82309207536958,-26.79138994898106,-1.0317021263885202,9.334155570819739,8.990880838255997,0.3432747325637422,4.537224855669932,4.361178586570877,0.1760462690990554
35,35,12.64,conservative,10,"35 years old, wealth=12.64, conservative",0.3089793752660565,0.6,1.205032128369553,-4.4477947961213353e+18,-4.0948201932576214e+20,4.050342245296408e+20,26.8,36.7,-9.900000000000002,-11.563369245246783,-27.134952533088978,15.571583287842195,4.657179507604784,9.050676159296579,-4.393496651691795,2.6299962870365934,4.992923423622852,-2.3629271365862583
36,39,17.92,conservative,10,"39 years old, wealth=17.92, conservative",0.26315789,0.6,1.4616607548142395,-1441053065033753.2,-7.405260376464974e+20,7.405245965934323e+20,24.7,33.6,-8.900000000000002,-8.940910036570347,-26.2713558672122,17.330445830641853,3.9250491477426186,8.947321275935327,-5.022272128192708,3.2478270208313957,7.287330670978705,-4.03950365014731
37,57,7.4,aggressive,6,"57 years old, wealth=7.40, aggressive",0.7802445928866835,0.6,1.7093452365455608,-1487661634322.4768,-4.3961546308123454e+27,4.396154630812344e+27,37.6,33.2,4.399999999999999,-35.02547657422701,-26.341858362107633,-8.683618212119374,11.646635668425924,8.949987978535576,2.696647689890348,3.942510654843795,2.8540466106001965,1.0884640442435987
38,54,5.95,aggressive,6,"54 years old, wealth=5.95, aggressive",0.8412824440878162,0.6,1.4812769013923126,-3187216044265867.0,-90681694751.90286,-3187125362571115.0,38.8,34.9,3.8999999999999986,-37.978680898984436,-26.96598587795025,-11.012695021034187,12.722333899229966,9.06829053967729,3.6540433595526753,3.518204830745039,2.503072698228799,1.0151321325162397
39,63,19.94,aggressive,6,"63 years old, wealth=19.94, aggressive",0.4524414400544745,0.6,3.0744735011587654,-16100867.520918055,-318052156.3810231,301951288.86010504,31.3,36.3,-4.9999999999999964,-19.343145654645557,-27.166750053075976,7.823604398430419,6.734339773451086,8.93381506270242,-2.1994752892513345,5.763072691289163,7.328710255215256,-1.565637563926093
40,30,19.57,balanced,8,"30 years old, wealth=19.57, balanced",0.3498885988327353,0.6,1.557592542091141,-83200615058272.73,-1.1370399071105874e+18,1.1369567064955291e+18,29.6,35.1,-5.5,-13.871032075049532,-27.087113239001184,13.216081163951651,5.215081908164757,8.936323437673995,-3.7212415295092374,4.518191315140748,7.811523341553033,-3.293332026412285
41,64,15.81,aggressive,6,"64 years old, wealth=15.81, aggressive",0.49930313715405744,0.6,2.8370363746975644,-2159900423.496235,-347628921.71594507,-1812271501.78029,32.0,32.9,-0.8999999999999986,-21.45196696805407,-26.536337293583802,5.084370325529733,7.5291996964111485,9.042116797313161,-1.5129171009020128,5.1721611580012254,6.027270559997807,-0.8551094019965815
42,51,16.53,balanced,8,"51 years old, wealth=16.53, balanced",0.3737325149599625,0.6,1.8305529749033096,-24996610834245.816,-6.229396061183665e+16,6.22689640010024e+16,27.6,32.1,-4.5,-14.692819889873311,-26.313858510973148,11.621038621099837,5.551451330184044,8.902625937588658,-3.351174607404614,4.184551439138051,6.632724340915949,-2.448172901777898
43,40,9.4,conservative,10,"40 years old, wealth=9.40, conservative",0.35407591662885113,0.6,1.1088836310082528,-3.837985306551643e+21,-5.46037119613258e+24,5.456533210826028e+24,26.3,34.2,-7.900000000000002,-13.98486876886423,-26.999205497443047,13.014336728578817,5.2929558625875055,8.96582366844668,-3.672867805859174,2.186100525124424,3.572698868878015,-1.3865983437535907
44,46,5.05,balanced,8,"46 years old, wealth=5.05, balanced",0.7106146107202778,0.6,1.0719865792209904,-1.7111664152159665e+23,-5.4970747927729144e+16,-1.711165865508487e+23,38.8,35.1,3.6999999999999957,-32.075808396005456,-26.77068175648524,-5.305126639520218,10.616735099071118,8.96264437303115,1.6540907260399678,2.3388085867447455,1.9445511904933044,0.3942573962514411
45,62,16.43,aggressive,6,"62 years old, wealth=16.43, aggressive",0.48638991731355447,0.6,2.7041679325867825,-5554707718762.115,-1876325779777.2583,-3678381938984.857,34.5,33.3,1.2000000000000028,-21.162002612494412,-27.015431463105603,5.853428850611191,7.2711492326382645,8.969318995403945,-1.6981697627656809,4.875423330712582,6.130696349582823,-1.2552730188702403
46,49,18.06,conservative,10,"49 years old, wealth=18.06, conservative",0.2556864709419642,0.6,1.727274274268677,-4622171442993.961,-9.475736327821217e+20,9.475736281599502e+20,21.0,32.5,-11.5,-8.673509339744987,-26.298044593587598,17.62453525384261,3.8273719953526983,8.981068314384661,-5.153696319031963,3.3545617622596846,7.40386507239435,-4.049303310134665
47,42,12.61,aggressive,6,"42 years old, wealth=12.61, aggressive",0.5724496918751009,0.6,1.5023565132937842,-54252627.19821754,-2622535899850.835,2622481647223.6367,37.1,37.6,-0.5,-26.07204409146923,-27.517675265468654,1.4456311739994234,8.615567039939359,9.031968871197265,-0.41640183125790564,4.575819273554177,4.885445635533686,-0.3096263619795092
48,40,10.61,conservative,10,"40 years old, wealth=10.61, conservative",0.3361619220149248,0.6,1.1631014157325201,-9.404347269266336e+26,-9.53865988968951e+27,8.598225162762876e+27,27.2,38.7,-11.500000000000004,-13.13975808907255,-27.099521197057886,13.959763107985335,5.044795566375205,9.008070901728154,-3.9632753353529484,2.2836654716701883,3.900520617017513,-1.6168551453473246
49,63,19.3,aggressive,6,"63 years old, wealth=19.30, aggressive",0.457129559022277,0.6,3.0234889498780673,-111646444359.45734,-41576834584102.34,41465188139742.88,29.3,33.6,-4.300000000000001,-19.16367242987269,-26.31605229755621,7.152379867683521,6.822691214457379,8.949166223440228,-2.1264750089828492,5.980641445468035,8.11931917298378,-2.138677727515744
50,61,13.98,conservative,10,"61 years old, wealth=13.98, conservative",0.32689164345747757,0.6,2.145012179548332,-1.1208559505963893e+23,-1.3728065947149867e+17,-1.1208545777897947e+23,26.2,34.6,-8.400000000000002,-12.384051144500502,-26.640278354196955,14.256227209696453,4.916555635196161,9.013773922544008,-4.097218287347847,3.0467574022772714,5.389158840899314,-2.3424014386220424
51,53,6.68,conservative,10,"53 years old, wealth=6.68, conservative",0.4421319901408196,0.6,1.25620849723714,-5.0870628320624334e+23,-1.0063080675546066e+23,-4.080754764507827e+23,30.2,37.0,-6.800000000000001,-18.506561017109888,-26.96718169090666,8.460620673796772,6.662319149849615,9.035193097636267,-2.372873947786652,1.9400842409951364,2.576611350333124,-0.6365271093379876
52,45,8.59,balanced,8,"45 years old, wealth=8.59, balanced",0.5216095491044466,0.6,1.2363633755668433,-2.1829389615437216e+16,-4.7858511843038085e+19,4.7836682453422645e+19,36.6,36.3,0.30000000000000426,-23.354017997153832,-27.691991835825352,4.33797383867152,7.825444790226585,9.00052524865812,-1.1750804584315349,2.630643843089275,2.986494547686532,-0.3558507045972572
53,35,19.2,aggressive,6,"35 years old, wealth=19.20, aggressive",0.4946715252219922,0.6,1.6942514939313522,-472138072.23878574,-88413044310.89401,87940906238.65523,32.2,34.3,-2.0999999999999943,-21.288225458691542,-26.59564770758447,5.307422248892927,7.422934565295954,9.008590177215503,-1.5856556119195488,6.400801434631516,7.821945122063658,-1.4211436874321421
54,34,12.29,aggressive,6,"34 years old, wealth=12.29, aggressive",0.6252484814098163,0.6,1.4055277106703723,-144690645611777.12,-25392797658.984867,-144665252814118.12,36.2,35.5,0.7000000000000028,-27.621171523499736,-26.51665849543025,-1.104513028069487,9.28043391721151,8.90658129182763,0.373852625383881,5.170471805209345,4.806247232196667,0.3642245730126774
55,38,16.49,aggressive,6,"38 years old, wealth=16.49, aggressive",0.5377718308773768,0.6,1.612384812434281,-9.75023543448398e+16,-143260133343581.03,-9.735909421149622e+16,34.5,36.6,-2.1000000000000014,-23.872635278187985,-27.001875251700334,3.129239973512348,8.09911848336265,9.033894436321333,-0.9347759529586828,5.976467327896144,6.68528374818466,-0.7088164202885157
56,65,12.13,aggressive,6,"65 years old, wealth=12.13, aggressive",0.5759493452396235,0.6,2.6148594716398823,-1551204313.2906249,-2528050767.439472,976846454.1488473,35.1,35.8,-0.6999999999999957,-25.52443965930087,-26.86545513201911,1.3410154727182402,8.640035128582051,8.999033838433038,-0.3589987098509866,4.697003297769573,4.850486441455432,-0.15348314368585925
57,57,8.98,conservative,10,"57 years old, wealth=8.98, conservative",0.40479852480786593,0.6,1.5662734055950762,-1.2228086597076876e+25,-9.359204550405914e+24,-2.8688820466709623e+24,28.6,34.6,-6.0,-16.658910802959632,-26.602280751274453,9.943369948314821,6.0708324115746715,9.006180003392537,-2.935347591817865,2.4143089890923703,3.6148480002207615,-1.2005390111283911
58,42,18.93,conservative,10,"42 years old, wealth=18.93, conservative",0.26315789,0.6,1.5599510233980423,-8.262116858274424e+19,-1.6164128969078442e+35,1.6164128969078435e+35,26.2,38.0,-11.8,-9.139172433086836,-27.245380254659704,18.106207821572866,3.9545509121719715,9.034558316895637,-5.080007404723666,3.4637413750183,7.543374533438051,-4.079633158419751
59,53,9.68,aggressive,6,"53 years old, wealth=9.68, aggressive",0.6813705483363895,0.6,1.6771458371478045,-7681135879860.62,-5.028900684287219e+17,5.0288238729284205e+17,37.1,35.9,1.2000000000000028,-31.06389972260364,-26.81025445461539,-4.253645267988251,10.195329532674043,8.978285352204166,1.2170441804698768,4.394272388150169,3.696267440075481,0.6980049480746877
60,58,18.49,balanced,8,"58 years old, wealth=18.49, balanced",0.357799799590902,0.6,2.338722816002528,-125510153264.01704,-8123540345470670.0,8123414835317406.0,29.5,36.2,-6.700000000000003,-13.819382771789611,-26.424314125393703,12.604931353604092,5.326056587610514,8.937798357501807,-3.6117417698912924,4.439747669893031,7.416025918254931,-2.9762782483618997
61,34,8.72,conservative,10,"34 years old, wealth=8.72, conservative",0.41249710100558634,0.6,1.0392959872900087,-1.5300588931954426e+20,-1.2557326688126982e+23,1.2542026099195028e+23,27.7,34.4,-6.699999999999999,-17.020425659153975,-26.792961812057236,9.77253615290326,6.199347445150106,9.009702204314237,-2.810354759164132,2.331020164179846,3.538397639103589,-1.2073774749237431
62,65,5.32,balanced,8,"65 years old, wealth=5.32, balanced",0.7594422854063965,0.6,1.8730311731400544,-7.891776364382868e+20,-1.5815400343293827e+17,-7.890194824348538e+20,39.3,37.5,1.7999999999999972,-34.027041609434846,-26.552364012143,-7.474677597291848,11.399854342443149,9.0037157408198,2.396138601623349,2.9011079479571498,2.214585229162148,0.6865227187950018
63,30,13.83,conservative,10,"30 years old, wealth=13.83, conservative",0.34921842977396095,0.6,1.24502344517915,-1389902234042769.0,-1.7464677501383496e+24,1.7464677487484475e+24,28.9,35.4,-6.5,-13.736715237421675,-26.977881135786074,13.241165898364399,5.231824216762172,8.98522950737984,-3.7534052906176676,3.1956469794074525,5.4819643625442716,-2.286317383136819
64,33,15.62,conservative,10,"33 years old, wealth=15.62, conservative",0.2779459921009768,0.6,1.3144569114823603,-679283735079894.1,-1.4625297270864483e+23,1.462529720293611e+23,25.0,36.7,-11.700000000000003,-10.040368845581234,-27.348224190882753,17.30785534530152,4.164608577425177,8.994697673741115,-4.8300890963159375,2.8039755961411807,5.8237351855663695,-3.0197595894251887
65,32,6.01,conservative,10,"32 years old, wealth=6.01, conservative",0.47200994979103683,0.6,0.9245873983335766,-6.263170324237182e+21,-2.65635581968539e+37,2.6563558196853897e+37,33.9,35.7,-1.8000000000000043,-20.209140136563292,-26.9587058401025,6.749565703539208,7.088200636318525,9.010128309605262,-1.9219276732867376,1.8269711170973608,2.3408464110987186,-0.5138752940013578
66,45,6.06,balanced,8,"45 years old, wealth=6.06, balanced",0.6261256758924278,0.6,1.107584199177379,-2.4564459476420014e+18,-5.50849743388343e+22,5.508251789288666e+22,35.3,35.6,-0.30000000000000426,-28.170446584938983,-26.750624342373367,-1.4198222425656155,9.350700017517074,8.963395215826047,0.38730480169102677,2.5276364725195264,2.4041891015836847,0.12344737093584168
67,43,15.03,balanced,8,"43 years old, wealth=15.03, balanced",0.38935334541218386,0.6,1.5005523896082855,-1.768886069325979e+17,-5.983240482863039e+16,-1.1705620210396749e+17,32.7,40.3,-7.599999999999994,-16.336527750220405,-27.490631643194444,11.154103892974039,5.839651721773312,9.000946228039346,-3.1612945062660343,3.5555813313043534,5.560545383738319,-2.0049640524339654
68,60,6.98,aggressive,6,"60 years old, wealth=6.98, aggressive",0.8284657312015873,0.6,1.835823659175156,-20942192071901.55,-16711329113370.986,-4230862958530.5645,39.9,34.3,5.600000000000001,-37.29412146615662,-26.607921069952976,-10.686200396203642,12.449968985543897,9.004573730540939,3.4453952550029587,4.408313950998012,2.9186806533964345,1.4896332976015771
69,56,16.77,conservative,10,"56 years old, wealth=16.77, conservative",0.26597002208760706,0.6,1.9907076148968468,-8.208628411451906e+16,-8.892104250964475e+32,8.892104250964474e+32,26.2,38.7,-12.500000000000004,-9.259489528197152,-26.997485535097894,17.737996006900744,3.9872103744635403,8.983186505757661,-4.995976131294121,2.8955435067802737,5.8317445408733475,-2.9362010340930738
70,57,6.41,conservative,10,"57 years old, wealth=6.41, conservative",0.506129240064907,0.6,1.3991968928250111,-1.0062428051261823e+21,-4.32137774754528e+28,4.321377646921e+28,35.4,38.9,-3.5,-22.658281620438377,-27.40090449545342,4.742622875015044,7.582586432866287,8.985315792734047,-1.4027293598677604,1.936661763734528,2.3601827244148605,-0.4235209606803325
71,59,11.35,balanced,8,"59 years old, wealth=11.35, balanced",0.439886201774799,0.6,1.9358810702637548,-8.218789609958715e+16,-246125801981775.1,-8.194177029760538e+16,29.5,34.6,-5.100000000000001,-18.37133731300602,-26.669072670200165,8.297735357194146,6.606329013721825,9.011715542645497,-2.405386528923672,3.314990912689924,4.45495159514858,-1.1399606824586557
72,36,5.81,aggressive,6,"36 years old, wealth=5.81, aggressive",0.9509726667724452,0.6,1.1254198122516381,-3.527858675803148e+16,-164797768304.5753,-3.5278421960263176e+16,46.3,36.4,9.899999999999999,-42.33658046223257,-26.30516673278166,-16.031413729450907,14.056711404692907,8.858761058923083,5.197950345769824,3.575133975193509,2.1065817980147243,1.4685521771787848
73,51,11.04,conservative,10,"51 years old, wealth=11.04, conservative",0.329795791697579,0.6,1.4354223937339041,-1.7070640392949876e+26,-8.105763485033211e+16,-1.707064038484411e+26,27.7,37.5,-9.8,-12.643969146690457,-27.10940993129641,14.465440784605951,4.925205554468005,8.978797235473165,-4.05359168100516,2.424417852422553,4.140134109252103,-1.71571625682955
74,42,8.73,conservative,10,"42 years old, wealth=8.73, conservative",0.36399523596052935,0.6,1.1044151566121383,-7.13922837453667e+24,-2.5592147722936685e+19,-7.139202782388947e+24,29.3,37.7,-8.400000000000002,-14.45487114299992,-26.674339731670695,12.219468588670775,5.459602759410275,8.990446858048,-3.530844098637724,2.088833916561862,3.4592861916345665,-1.3704522750727044
